Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
201,   7/4/2024, 20:36:34.545000,   7/4/2024, 20:36:34.370602,      Primary,2,0,-2020,2080,8080,-0.16,46.22,Post Stim,4.9,9.2,1.5,1000000,     L2 msmx,8.34,16B_StrainRate_20240408T023628+0000_40348.h5
254,   7/4/2024, 20:38:34.275000,   7/4/2024, 20:38:34.077347,      Primary,2,0,-2340,2210,8090,0.54,187.75,Post Stim,66.6,102.7,3.3,1000000,     L2 msmx,8.63,16B_StrainRate_20240408T023828+0000_40358.h5
377,   7/4/2024, 20:43:00.310000,   7/4/2024, 20:43:00.105720,      Primary,2,0,-2390,2270,8130,-0.05,52.3,Post Stim,10.5,24.4,1.9,1000000,     L2 msmx,8.22,16B_StrainRate_20240408T024252+0000_40380.h5
401,   7/4/2024, 20:44:07.409000,   7/4/2024, 20:44:07.220413,      Primary,2,0,-2190,2230,7970,0.11,72.33,Post Stim,52.7,66.1,1.8,1000000,     L2 msmx,8.65,16B_StrainRate_20240408T024404+0000_40386.h5
403,   7/4/2024, 20:44:18.266500,   7/4/2024, 20:44:18.071949,      Primary,2,0,-2230,2250,7950,-0.13,50.42,Post Stim,9.5,23.4,1.9,1000000,     L2 msmx,8.12,16B_StrainRate_20240408T024416+0000_40387.h5
431,   7/4/2024, 20:45:18.860250,   7/4/2024, 20:45:18.667892,      Primary,2,0,-2210,2200,7990,-0.48,20.56,Post Stim,4.9,9.3,1.7,1000000,     L2 msmx,8.2,16B_StrainRate_20240408T024516+0000_40392.h5
649,   7/4/2024, 20:53:45.634000,   7/4/2024, 20:53:45.659050,      Primary,2,0,-2110,2210,7960,0.43,187.75,Post Stim,16.2,31.8,2.6,1000000,     L2 msmx,7.97,16B_StrainRate_20240408T025340+0000_40434.h5
702,   7/4/2024, 20:56:02.983250,   7/4/2024, 20:56:02.856225,      Primary,2,0,140,2970,7620,-0.11,141.46,Post Stim,11.5,29.9,1.5,1000000,     L2 msmx,8.51,16B_StrainRate_20240408T025552+0000_40445.h5
764,   7/4/2024, 20:58:16.644500,   7/4/2024, 20:58:16.522552,      Primary,2,0,110,2760,7950,-0.18,239.9,Post Stim,20.0,86.2,1.9,1000000,     L2 msmx,8.97,16B_StrainRate_20240408T025816+0000_40457.h5
1034,   7/4/2024, 21:09:04.837750,   7/4/2024, 21:09:04.672321,      Primary,2,0,-2340,2360,7750,-0.31,40.54,Post Stim,5.3,11.6,1.6,1000000,     L2 msmx,8.09,16B_StrainRate_20240408T030904+0000_40511.h5
1402,   7/4/2024, 21:23:34.918000,   7/4/2024, 21:23:34.758930,      Primary,2,0,-180,2200,8020,-0.21,33.26,Post Stim,17.2,40.0,2.6,1000000,     L2 msmx,9.02,16B_StrainRate_20240408T032328+0000_40583.h5
1764,   7/4/2024, 21:39:17.706250,   7/4/2024, 21:39:17.518734,      Primary,2,0,-1850,2170,7520,-0.18,86.36,Post Stim,3.5,5.0,1.5,1000000,     L2 msmx,18.5,16B_StrainRate_20240408T033916+0000_40662.h5
2124,   7/4/2024, 21:53:43.246500,   7/4/2024, 21:53:43.050808,      Primary,2,0,-2230,2280,7820,-0.3,36.06,Post Stim,9.9,29.6,1.5,1000000,     L2 msmx,7.89,16B_StrainRate_20240408T035340+0000_40734.h5
2129,   7/4/2024, 21:53:58.208750,   7/4/2024, 21:53:58.019878,      Primary,2,0,-2180,2240,7910,0.19,187.75,Post Stim,16.2,71.6,2.8,1000000,     L2 msmx,8.71,16B_StrainRate_20240408T035352+0000_40735.h5
2146,   7/4/2024, 21:54:36.294500,   7/4/2024, 21:54:36.167267,      Primary,2,0,-2220,2210,7990,0.21,187.75,Post Stim,32.4,97.3,3.4,1000000,     L2 msmx,7.87,16B_StrainRate_20240408T035428+0000_40738.h5
2152,   7/4/2024, 21:54:52.688000,   7/4/2024, 21:54:52.303642,      Primary,2,0,-1020,1900,8180,-0.53,19.8,Post Stim,4.6,10.3,1.7,1000000,     L2 msmx,10.64,16B_StrainRate_20240408T035452+0000_40740.h5
