Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
352,   8/4/2024, 11:16:45.444000,   8/4/2024, 11:16:45.279060,      Primary,2,0,10,2090,8180,-0.29,49.57,Post Stim,25.9,44.2,2.4,1000000,     L2 msmx,9.11,16B_StrainRate_20240408T171640+0000_44749.h5
674,   8/4/2024, 11:31:40.177750,   8/4/2024, 11:31:40.058750,      Primary,2,0,-800,2120,8100,0.39,28.69,Post Stim,6.0,17.6,2.2,1000000,     L2 msmx,8.58,16B_StrainRate_20240408T173140+0000_44824.h5
795,   8/4/2024, 11:37:27.298500,   8/4/2024, 11:37:27.127962,      Primary,2,0,-480,2870,8520,-0.13,42.62,Post Stim,11.6,28.2,1.5,1000000,     L2 msmx,8.31,16B_StrainRate_20240408T173716+0000_44852.h5
1687,   8/4/2024, 12:25:00.861250,   8/4/2024, 12:25:00.671960,      Primary,2,0,410,3410,8290,0.46,36.23,Post Stim,31.0,52.3,1.2,1000000,     L2 msmx,7.94,16B_StrainRate_20240408T182452+0000_45090.h5
1992,   8/4/2024, 12:41:18.412000,   8/4/2024, 12:41:18.297359,      Primary,2,0,-100,2130,8140,-0.16,51.47,Post Stim,11.0,10.9,2.7,1000000,     L2 msmx,8.34,16B_StrainRate_20240408T184116+0000_45172.h5
2047,   8/4/2024, 12:44:04.605000,   8/4/2024, 12:44:04.503412,      Primary,2,0,-1310,2110,6980,-0.18,222.11,Post Stim,12.3,39.8,2.0,1000000,     L2 msmx,8.48,16B_StrainRate_20240408T184404+0000_45186.h5
2060,   8/4/2024, 12:44:56.032500,   8/4/2024, 12:44:55.896660,      Primary,2,0,-2090,2000,7940,-0.18,50.53,Post Stim,33.0,90.3,1.4,1000000,     L2 msmx,7.63,16B_StrainRate_20240408T184452+0000_45190.h5
2061,   8/4/2024, 12:44:59.293500,   8/4/2024, 12:44:59.121773,      Primary,2,0,-2460,2350,7870,0.05,165.84,Post Stim,11.4,21.2,1.8,1000000,     L2 msmx,8.05,16B_StrainRate_20240408T184452+0000_45190.h5
2844,   8/4/2024, 13:27:27.671250,   8/4/2024, 13:27:27.510864,      Primary,2,0,-90,2200,8020,-0.44,25.21,Post Stim,6.0,11.5,1.9,1000000,     L2 msmx,8.68,16B_StrainRate_20240408T192716+0000_45402.h5
2855,   8/4/2024, 13:28:10.942250,   8/4/2024, 13:28:10.759547,      Primary,2,0,-2530,2220,8440,0.68,187.75,Post Stim,199.0,145.9,2.7,1000000,     L2 msmx,8.07,16B_StrainRate_20240408T192804+0000_45406.h5
3201,   8/4/2024, 13:47:04.717250,   8/4/2024, 13:47:04.593230,      Primary,2,0,-500,2140,8080,-0.63,19.51,Post Stim,6.6,9.6,1.6,1000000,     L2 msmx,8.42,16B_StrainRate_20240408T194704+0000_45501.h5
3415,   8/4/2024, 13:58:05.654750,   8/4/2024, 13:58:05.684581,      Primary,2,0,-250,2110,8120,-0.58,21.93,Post Stim,18.2,12.4,1.8,1000000,     L2 msmx,7.75,16B_StrainRate_20240408T195804+0000_45556.h5
3624,   8/4/2024, 14:09:18.347750,   8/4/2024, 14:09:18.157415,      Primary,2,0,-10,2760,8840,0.41,524.33,Post Stim,79.4,140.8,2.8,1000000,     L2 msmx,11.39,16B_StrainRate_20240408T200916+0000_45612.h5
4683,   8/4/2024, 15:10:06.584000,   8/4/2024, 15:10:06.425560,      Primary,2,0,-150,2200,8020,-0.3,40.62,Post Stim,15.7,38.0,2.1,1000000,     L2 msmx,8.93,16B_StrainRate_20240408T211004+0000_45916.h5
4711,   8/4/2024, 15:11:56.388250,   8/4/2024, 15:11:56.270741,      Primary,2,0,-1380,3390,7600,0.25,187.75,Post Stim,127.4,339.2,2.4,1000000,     L2 msmx,13.36,16B_StrainRate_20240408T211152+0000_45925.h5
4723,   8/4/2024, 15:12:41.458750,   8/4/2024, 15:12:41.341362,      Primary,2,0,-1480,3240,7760,-0.54,44.75,Post Stim,10.6,42.8,1.4,1000000,     L2 msmx,8.51,16B_StrainRate_20240408T211240+0000_45929.h5
4746,   8/4/2024, 15:14:10.041250,   8/4/2024, 15:14:10.208082,      Primary,2,0,-710,2010,8120,-0.49,20.03,Post Stim,4.8,11.5,1.8,1000000,     L2 msmx,8.28,16B_StrainRate_20240408T211404+0000_45936.h5
4943,   8/4/2024, 15:25:01.233000,   8/4/2024, 15:25:01.066097,      Primary,2,0,-2440,2120,8310,0.03,85.33,Post Stim,5.9,14.4,1.7,1000000,     L2 msmx,8.6,16B_StrainRate_20240408T212452+0000_45990.h5
