Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
43,   3/4/2024, 10:37:26.708000,   3/4/2024, 10:37:26.520487,      Primary,2,0,-1150,3300,8430,-0.92,0.5,3,15.4,36.5,1.1,1000000,     L2 msmx,6.7,
47,   3/4/2024, 10:37:59.106000,   3/4/2024, 10:37:58.875683,      Primary,2,0,-1070,3500,8410,-1.09,0.48,3,13.7,33.2,1.1,1000000,     L2 msmx,6.73,
56,   3/4/2024, 10:38:40.201750,   3/4/2024, 10:38:40.012058,      Primary,2,0,-940,3530,8500,-0.73,0.58,3,23.0,48.7,1.1,1000000,     L2 msmx,6.62,
1096,   3/4/2024, 11:57:33.040750,   3/4/2024, 11:57:32.886600,      Primary,2,0,-1400,3050,8130,0.04,167.81,3,19.6,41.8,2.7,1000000,     L2 msmx,9.12,
1180,   3/4/2024, 12:02:10.987250,   3/4/2024, 12:02:10.838082,      Primary,2,0,-1250,2990,8150,0.2,145.39,3,20.2,57.3,2.1,1000000,     L2 msmx,10.51,
1455,   3/4/2024, 12:16:57.112750,   3/4/2024, 12:16:56.959549,      Primary,2,0,-1270,3080,8270,0.34,187.75,3,20.2,47.1,2.1,1000000,     L2 msmx,10.81,
1623,   3/4/2024, 12:25:36.411750,   3/4/2024, 12:25:36.277512,      Primary,2,0,-970,3170,7880,0.06,157.59,3,37.5,139.6,1.9,1000000,     L2 msmx,14.35,
1852,   3/4/2024, 12:36:40.525750,   3/4/2024, 12:36:40.393341,      Primary,2,0,-1020,3170,7780,0.26,218.45,3,46.8,136.8,2.1,1000000,     L2 msmx,16.48,
1905,   3/4/2024, 12:39:11.851750,   3/4/2024, 12:39:11.781822,      Primary,2,0,-1130,3210,7760,0.15,291.31,3,20.6,44.0,2.0,1000000,     L2 msmx,15.85,
1949,   3/4/2024, 12:41:12.980000,   3/4/2024, 12:41:12.928250,      Primary,2,0,-730,3190,8010,0.33,182.77,3,46.0,75.6,1.8,1000000,     L2 msmx,17.59,
2119,   3/4/2024, 12:49:43.916250,   3/4/2024, 12:49:43.738922,      Primary,2,0,-1520,2950,8360,0.21,64.79,3,7.5,9.1,2.7,1000000,     L2 msmx,15.6,
2304,   3/4/2024, 12:59:37.511250,   3/4/2024, 12:59:37.362564,      Primary,2,0,-1240,3060,8200,0.28,187.75,3,37.5,110.0,1.9,1000000,     L2 msmx,9.45,
2358,   3/4/2024, 13:02:25.247500,   3/4/2024, 13:02:25.083752,      Primary,2,0,-1280,2890,8480,0.4,227.52,3,21.8,53.6,3.1,1000000,     L2 msmx,14.57,
2384,   3/4/2024, 13:03:36.538500,   3/4/2024, 13:03:36.406433,      Primary,2,0,-960,3120,7760,-0.11,68.8,3,15.2,26.7,1.5,1000000,     L2 msmx,12.78,
2569,   3/4/2024, 13:13:08.052500,   3/4/2024, 13:13:07.921953,      Primary,2,0,-1030,3130,7810,0.18,187.75,3,14.4,40.7,2.5,1000000,     L2 msmx,13.46,
2663,   3/4/2024, 13:17:41.493750,   3/4/2024, 13:17:41.356777,      Primary,2,0,-990,3220,7700,0.03,108.49,3,27.1,24.3,2.1,1000000,     L2 msmx,20.23,
2672,   3/4/2024, 13:18:09.179750,   3/4/2024, 13:18:09.049705,      Primary,2,0,-970,3160,7740,0.2,189.5,3,31.4,57.9,2.6,1000000,     L2 msmx,17.21,
2732,   3/4/2024, 13:21:12.980250,   3/4/2024, 13:21:12.823833,      Primary,2,0,-1440,3030,8000,0.19,245.77,3,18.0,31.9,2.9,1000000,     L2 msmx,29.29,
2782,   3/4/2024, 13:23:35.698250,   3/4/2024, 13:23:35.564053,      Primary,2,0,-900,3220,7740,-0.04,86.29,3,21.7,21.6,1.9,1000000,     L2 msmx,16.52,
2824,   3/4/2024, 13:25:31.642250,   3/4/2024, 13:25:31.700548,      Primary,2,0,-1300,2930,7980,0.28,228.63,3,12.0,19.0,2.5,1000000,     L2 msmx,8.28,
3015,   3/4/2024, 13:34:25.612000,   3/4/2024, 13:34:25.482046,      Primary,2,0,-580,3180,7950,0.38,229.46,3,46.0,84.6,2.1,1000000,     L2 msmx,20.96,
3044,   3/4/2024, 13:35:39.353250,   3/4/2024, 13:35:39.221375,      Primary,2,0,-890,3180,7800,0.03,127.17,3,17.9,35.5,1.6,1000000,     L2 msmx,17.25,
3058,   3/4/2024, 13:36:23.573500,   3/4/2024, 13:36:23.426489,      Primary,2,0,-1250,3000,8080,0.56,480.94,3,45.8,70.8,2.7,1000000,     L2 msmx,15.61,
3064,   3/4/2024, 13:36:43.378000,   3/4/2024, 13:36:43.238518,      Primary,2,0,-630,3230,7950,0.27,226.84,3,30.0,46.3,2.2,1000000,     L2 msmx,23.15,
3124,   3/4/2024, 13:39:34.336250,   3/4/2024, 13:39:34.191151,      Primary,2,0,-730,2880,8390,0.24,217.85,3,15.3,45.0,2.1,1000000,     L2 msmx,11.62,
3184,   3/4/2024, 13:42:37.483750,   3/4/2024, 13:42:37.360744,      Primary,2,0,-870,3170,7690,0.02,141.4,3,24.7,57.1,2.1,1000000,     L2 msmx,16.13,
3220,   3/4/2024, 13:44:22.939000,   3/4/2024, 13:44:22.806196,      Primary,2,0,-950,3180,7830,0.33,200.64,3,40.8,81.8,2.4,1000000,     L2 msmx,19.31,
3248,   3/4/2024, 13:45:58.720500,   3/4/2024, 13:45:58.589348,      Primary,2,0,-620,3130,7990,-0.06,82.07,3,17.2,29.0,2.0,1000000,     L2 msmx,13.58,
3264,   3/4/2024, 13:46:45.617250,   3/4/2024, 13:46:45.488758,      Primary,2,0,-510,3150,7960,0.07,158.94,3,31.6,42.3,2.3,1000000,     L2 msmx,13.45,
3326,   3/4/2024, 13:49:36.442250,   3/4/2024, 13:49:36.585777,      Primary,2,0,-920,3210,7740,0.05,111.74,3,15.7,25.5,2.0,1000000,     L2 msmx,7.05,
3370,   3/4/2024, 13:51:56.623750,   3/4/2024, 13:51:56.483440,      Primary,2,0,-580,3290,7890,0.37,202.04,3,33.4,46.5,2.5,1000000,     L2 msmx,18.19,
3451,   3/4/2024, 13:55:33.345000,   3/4/2024, 13:55:33.216434,      Primary,2,0,-930,3170,7770,0.35,187.75,3,37.7,70.1,2.1,1000000,     L2 msmx,22.66,
3466,   3/4/2024, 13:56:14.693500,   3/4/2024, 13:56:14.681652,      Primary,2,0,-410,3070,8250,0.32,284.38,3,19.0,21.2,2.5,1000000,     L2 msmx,8.53,
