Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
496,   3/4/2024, 23:04:58.425750,   3/4/2024, 23:04:58.255959,      Primary,2,0,-1270,3010,8200,0.15,87.56,5,14.8,29.6,3,1000000,     L2 msmx,10.81
712,   3/4/2024, 23:18:44.161000,   3/4/2024, 23:18:44.021416,      Primary,2,0,-300,3230,7850,0.49,378.25,5,107.8,267.8,2.7,1000000,     L2 msmx,15.8
1105,   3/4/2024, 23:45:06.777250,   3/4/2024, 23:45:06.621910,      Primary,2,0,-1450,3240,7830,0.55,450.41,5,85.8,128.7,3.7,1000000,     L2 msmx,13.73
1149,   3/4/2024, 23:48:06.155250,   3/4/2024, 23:48:06.205264,      Primary,2,0,-830,3190,7460,0.51,386.7,5,48,125.4,2.7,1000000,     L2 msmx,6.74
1295,   3/4/2024, 23:58:24.452750,   3/4/2024, 23:58:24.281078,      Primary,2,0,-1520,3110,8030,0.22,255.41,5,21.5,32.4,3.2,1000000,     L2 msmx,12
1627,   4/4/2024, 00:21:12.861500,   4/4/2024, 00:21:12.690303,      Primary,2,0,-1520,3040,8050,0.24,200.72,5,32.5,87.8,2.9,1000000,     L2 msmx,11.05
1723,   4/4/2024, 00:27:19.497500,   4/4/2024, 00:27:19.353466,      Primary,2,0,-1250,3250,7580,0.21,485.34,5,28,76.8,2.5,1000000,     L2 msmx,10.62
1862,   4/4/2024, 00:36:56.009250,   4/4/2024, 00:36:55.667347,      Primary,2,0,-1650,3040,8110,0.47,386.39,5,50.6,118.2,3.1,1000000,     L2 msmx,88.22
2048,   4/4/2024, 00:50:31.425250,   4/4/2024, 00:50:31.253914,      Primary,2,0,-1600,3040,8020,0.18,150.48,5,65.5,137.4,3.1,1000000,     L2 msmx,10.06
2186,   4/4/2024, 01:01:23.464000,   4/4/2024, 01:01:23.799103,      Primary,2,0,-1490,3080,8030,0.27,328.83,5,16.6,104.1,4,1000000,     L2 msmx,6.65
2266,   4/4/2024, 01:06:42.826250,   4/4/2024, 01:06:42.708931,      Primary,2,0,-1520,2980,8130,0.18,122.06,5,21.8,34.3,3.1,1000000,     L2 msmx,9.96
2282,   4/4/2024, 01:07:57.752250,   4/4/2024, 01:07:57.608776,      Primary,2,0,-140,3180,8050,0.63,513.36,5,92.1,136.5,3.3,1000000,     L2 msmx,16.97
2342,   4/4/2024, 01:12:33.812250,   4/4/2024, 01:12:33.643330,      Primary,2,0,-730,3030,8270,0.24,201.37,5,17.8,51.9,3.2,1000000,     L2 msmx,12.2
2388,   4/4/2024, 01:15:14.123500,   4/4/2024, 01:15:14.140977,      Primary,2,0,-1000,2940,8270,0.74,527.49,5,18.3,53.1,5,1000000,     L2 msmx,6.74
2529,   4/4/2024, 01:23:38.935250,   4/4/2024, 01:23:38.770401,      Primary,2,0,-550,2900,8370,0.29,160.61,5,10.5,25.2,4,1000000,     L2 msmx,13.68
2570,   4/4/2024, 01:25:44.323500,   4/4/2024, 01:25:44.226280,      Primary,2,0,-200,3180,7950,0.28,228.87,5,15.6,33.6,2.5,1000000,     L2 msmx,12.12
2571,   4/4/2024, 01:25:46.216750,   4/4/2024, 01:25:46.064384,      Primary,2,0,-190,3220,8020,0.62,441.88,5,30,40.1,2.3,1000000,     L2 msmx,24.54
2667,   4/4/2024, 01:30:57.906000,   4/4/2024, 01:30:57.741665,      Primary,2,0,-1180,2940,8010,0.56,315.73,5,13.4,38.6,3.6,1000000,     L2 msmx,19.76
2737,   4/4/2024, 01:34:38.373000,   4/4/2024, 01:34:38.201496,      Primary,2,0,-1420,2870,8300,0.33,187.75,5,23.6,34.9,2.3,1000000,     L2 msmx,11.17
2782,   4/4/2024, 01:37:04.209750,   4/4/2024, 01:37:04.044612,      Primary,2,0,-900,2870,8250,0.78,520.22,5,11.2,33.1,2.7,1000000,     L2 msmx,22.77
2799,   4/4/2024, 01:37:55.795500,   4/4/2024, 01:37:55.629749,      Primary,2,0,-1270,2970,8000,0.7,325.79,5,20.1,58.8,2.9,1000000,     L2 msmx,14.7
2987,   4/4/2024, 01:48:29.398750,   4/4/2024, 01:48:29.246105,      Primary,2,0,-930,3300,7630,-0.14,107.17,5,10,14.5,2,1000000,     L2 msmx,17.38
3029,   4/4/2024, 01:50:48.474000,   4/4/2024, 01:50:48.307682,      Primary,2,0,-940,2870,8300,1.01,519.73,5,16.3,64.3,3.3,1000000,     L2 msmx,20.72
3266,   4/4/2024, 02:04:32.559000,   4/4/2024, 02:04:32.408791,      Primary,2,0,-540,3170,8000,0.23,139.11,5,30.7,54.6,3.7,1000000,     L2 msmx,13.69
3306,   4/4/2024, 02:06:49.273750,   4/4/2024, 02:06:49.108871,      Primary,2,0,-790,2880,8300,0.7,399.11,5,8.2,28.2,2.5,1000000,     L2 msmx,15.97
3310,   4/4/2024, 02:07:06.302500,   4/4/2024, 02:07:06.115650,      Primary,2,0,-1690,3040,8050,0.08,157.86,5,9.4,21.2,2.1,1000000,     L2 msmx,9.71
3493,   4/4/2024, 02:18:01.277250,   4/4/2024, 02:18:01.109027,      Primary,2,0,-980,2980,8310,0.52,232.66,5,12.2,29.1,2.7,1000000,     L2 msmx,11.2
3574,   4/4/2024, 02:21:55.181000,   4/4/2024, 02:21:55.028255,      Primary,2,0,-130,3020,8190,0.58,490.18,5,42.7,63.3,3.9,1000000,     L2 msmx,18.85
3588,   4/4/2024, 02:22:35.745250,   4/4/2024, 02:22:35.590889,      Primary,2,0,-430,2990,8180,0.61,520.59,5,40.8,67.3,4.4,1000000,     L2 msmx,23.48
3616,   4/4/2024, 02:24:02.050000,   4/4/2024, 02:24:02.046919,      Primary,2,0,-930,2790,8610,0.18,78.56,5,7.3,10.5,2.3,1000000,     L2 msmx,7.24
3731,   4/4/2024, 02:29:50.037000,   4/4/2024, 02:29:49.878529,      Primary,2,0,-1340,3150,7910,0.53,256.51,5,31.2,48.5,3.5,1000000,     L2 msmx,17.39
3757,   4/4/2024, 02:31:25.421000,   4/4/2024, 02:31:25.292646,      Primary,2,0,-540,2820,8390,0.76,520.06,5,15.3,40.9,2.8,1000000,     L2 msmx,18.07
3789,   4/4/2024, 02:32:43.679250,   4/4/2024, 02:32:43.531750,      Primary,2,0,-460,3080,8130,0.46,283.79,5,29.9,51.4,2.7,1000000,     L2 msmx,15.34
3822,   4/4/2024, 02:34:34.553000,   4/4/2024, 02:34:34.364403,      Primary,2,0,-670,2890,8640,0.19,97.3,5,9,15.2,2.5,1000000,     L2 msmx,8.92
3843,   4/4/2024, 02:35:48.208500,   4/4/2024, 02:35:48.069748,      Primary,2,0,-370,3320,7940,0.22,146.63,5,14.7,23.6,2.7,1000000,     L2 msmx,11.31
3912,   4/4/2024, 02:39:14.859250,   4/4/2024, 02:39:14.716352,      Primary,2,0,-990,3180,7750,0.31,197.6,5,22.2,40.9,2.6,1000000,     L2 msmx,18.57
3949,   4/4/2024, 02:41:14.769500,   4/4/2024, 02:41:14.852313,      Primary,2,0,-370,3080,8040,0.45,397.65,5,5.3,35,2.9,1000000,     L2 msmx,10.55
3954,   4/4/2024, 02:41:32.231250,   4/4/2024, 02:41:32.060471,      Primary,2,0,-670,2900,8420,0.8,516.29,5,17.8,32.4,5.1,1000000,     L2 msmx,19.03
3957,   4/4/2024, 02:41:46.155250,   4/4/2024, 02:41:45.988956,      Primary,2,0,-980,2800,8290,0.78,506.29,5,14.3,49.7,3.2,1000000,     L2 msmx,22.58
3975,   4/4/2024, 02:42:48.671750,   4/4/2024, 02:42:48.520241,      Primary,2,0,-1270,3250,7740,0.22,177.57,5,11.5,16.2,2.6,1000000,     L2 msmx,14.48
3979,   4/4/2024, 02:43:07.060000,   4/4/2024, 02:43:06.890458,      Primary,2,0,-1310,2730,8220,0.37,224.05,5,13.2,24.1,3,1000000,     L2 msmx,11.96
3980,   4/4/2024, 02:43:11.718250,   4/4/2024, 02:43:11.535201,      Primary,2,0,-940,2810,8610,0.43,144.51,5,15.9,25.3,2.4,1000000,     L2 msmx,11.46
3991,   4/4/2024, 02:43:56.517250,   4/4/2024, 02:43:56.341480,      Primary,2,0,-210,2980,8350,-0.1,56.51,5,20.5,19.1,1.8,1000000,     L2 msmx,8.39
4230,   4/4/2024, 02:56:07.985250,   4/4/2024, 02:56:07.822119,      Primary,2,0,-640,2780,8440,0.66,516.54,5,30.2,95,3,1000000,     L2 msmx,15.52
4290,   4/4/2024, 02:59:14.041000,   4/4/2024, 02:59:13.901550,      Primary,2,0,-1020,3350,7480,0.49,400.64,5,37.7,32.3,3.1,1000000,     L2 msmx,19.61
