Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
162,   4/4/2024, 06:39:10.889000,   4/4/2024, 06:39:10.892562,      Primary,2,0,-1320,3120,7720,0.65,498.63,6,59.5,88.3,3.2,1000000,     L2 msmx,6.55,
211,   4/4/2024, 06:42:19.204750,   4/4/2024, 06:42:19.044653,      Primary,2,0,-1150,2810,8520,0.07,101.02,6,6.6,10.7,1.5,1000000,     L2 msmx,7.88,
260,   4/4/2024, 06:45:25.524000,   4/4/2024, 06:45:25.358692,      Primary,2,0,-30,3090,8250,-0.2,83.41,6,47.3,32.3,1.5,1000000,     L2 msmx,6.89,
449,   4/4/2024, 06:58:03.587750,   4/4/2024, 06:58:03.434607,      Primary,2,0,-950,3070,8460,0.52,488.99,6,22.0,29.7,3.1,1000000,     L2 msmx,13.96,
467,   4/4/2024, 06:59:09.025500,   4/4/2024, 06:59:08.839300,      Primary,2,0,70,3180,8320,-0.12,54.75,6,7.0,11.2,2.2,1000000,     L2 msmx,8.17,
494,   4/4/2024, 07:00:39.384750,   4/4/2024, 07:00:39.201576,      Primary,2,0,60,3170,8460,-0.12,55.89,6,8.7,13.6,1.6,1000000,     L2 msmx,7.1,
513,   4/4/2024, 07:02:03.838750,   4/4/2024, 07:02:03.651663,      Primary,2,0,-150,3020,8590,0.16,140.3,6,20.9,55.0,2.6,1000000,     L2 msmx,8.12,
581,   4/4/2024, 07:06:17.267750,   4/4/2024, 07:06:17.166576,      Primary,2,0,-1110,2880,8710,0.16,188.83,6,20.6,37.1,3.1,1000000,     L2 msmx,9.11,
582,   4/4/2024, 07:06:18.320250,   4/4/2024, 07:06:18.041992,      Primary,2,0,-1000,2850,8710,0.04,107.68,6,6.3,9.9,2.6,1000000,     L2 msmx,42.38,
586,   4/4/2024, 07:06:34.042750,   4/4/2024, 07:06:33.878609,      Primary,2,0,-180,2980,8330,0.01,111.11,6,25.5,52.3,2.6,1000000,     L2 msmx,8.05,
659,   4/4/2024, 07:11:08.925250,   4/4/2024, 07:11:08.797306,      Primary,2,0,-770,3300,7380,0.23,137.96,6,22.0,53.7,2.0,1000000,     L2 msmx,10.42,
908,   4/4/2024, 07:27:55.301750,   4/4/2024, 07:27:55.139668,      Primary,2,0,-30,3110,8220,0.0,91.01,6,13.6,33.9,2.0,1000000,     L2 msmx,7.38,
995,   4/4/2024, 07:33:26.184500,   4/4/2024, 07:33:26.311007,      Primary,2,0,-1090,2920,8490,0.27,187.75,6,15.4,21.6,2.5,1000000,     L2 msmx,6.49,
1097,   4/4/2024, 07:40:08.688000,   4/4/2024, 07:40:08.531792,      Primary,2,0,40,3240,7980,-0.03,197.56,6,20.5,47.9,4.0,1000000,     L2 msmx,8.98,
1190,   4/4/2024, 07:46:11.740250,   4/4/2024, 07:46:11.611051,      Primary,2,0,-890,3320,7470,-0.08,78.2,6,17.5,28.5,2.0,1000000,     L2 msmx,10.23,
1269,   4/4/2024, 07:51:46.820000,   4/4/2024, 07:51:46.634232,      Primary,2,0,-960,2750,8710,0.54,220.44,6,11.0,34.0,2.5,1000000,     L2 msmx,12.9,
1270,   4/4/2024, 07:51:49.872000,   4/4/2024, 07:51:49.690536,      Primary,2,0,-1070,2670,8550,0.67,425.92,6,8.3,25.1,3.1,1000000,     L2 msmx,17.91,
1274,   4/4/2024, 07:52:14.513000,   4/4/2024, 07:52:14.448832,      Primary,2,0,-370,2850,8680,-0.08,35.94,6,8.9,13.3,1.7,1000000,     L2 msmx,6.6,
1279,   4/4/2024, 07:52:35.804500,   4/4/2024, 07:52:35.630520,      Primary,2,0,-80,3030,8580,0.49,319.86,6,56.5,169.8,2.5,1000000,     L2 msmx,10.71,
1297,   4/4/2024, 07:53:47.685000,   4/4/2024, 07:53:47.516922,      Primary,2,0,-210,3050,8090,0.01,47.95,6,7.5,7.3,1.6,1000000,     L2 msmx,9.69,
1388,   4/4/2024, 07:59:37.939250,   4/4/2024, 07:59:37.925568,      Primary,2,0,-200,3020,8340,-0.04,87.81,6,6.1,12.6,2.1,1000000,     L2 msmx,6.75,
1413,   4/4/2024, 08:01:11.261000,   4/4/2024, 08:01:11.109344,      Primary,2,0,-1270,2980,7900,0.0,79.04,6,27.5,83.8,2.8,1000000,     L2 msmx,10.23,
1547,   4/4/2024, 08:08:44.868750,   4/4/2024, 08:08:44.705215,      Primary,2,0,-1260,3010,7920,0.37,151.95,6,18.9,34.9,3.1,1000000,     L2 msmx,14.53,
1582,   4/4/2024, 08:10:58.150750,   4/4/2024, 08:10:57.986725,      Primary,2,0,-550,3030,8170,0.11,73.94,6,13.1,29.9,2.8,1000000,     L2 msmx,11.36,
1613,   4/4/2024, 08:12:34.253500,   4/4/2024, 08:12:34.422863,      Primary,2,0,-1270,2980,7810,-0.2,130.2,6,13.2,37.0,2.9,1000000,     L2 msmx,8.38,
