Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
29.0,   5/4/2024, 22:11:52.441500,   5/4/2024, 22:11:52.204098,      Primary,2.0,0.0,500.0,3250.0,8580.0,0.43,187.75,8.0,4.6,9.3,2.5,1000000.0,     L2 msmx,20.52,
39.0,   5/4/2024, 22:12:34.100000,   5/4/2024, 22:12:33.937004,      Primary,2.0,0.0,-180.0,3070.0,7500.0,-0.14,116.24,8.0,5.9,14.7,1.7,1000000.0,     L2 msmx,8.46,
70.0,   5/4/2024, 22:13:58.148250,   5/4/2024, 22:13:57.807804,      Primary,2.0,0.0,110.0,3050.0,8310.0,0.23,175.69,8.0,4.2,6.9,2.1,1000000.0,     L2 msmx,25.35,
78.0,   5/4/2024, 22:14:20.999250,   5/4/2024, 22:14:20.825739,      Primary,2.0,0.0,-1060.0,2350.0,7330.0,0.1,187.75,8.0,8.0,15.5,3.0,1000000.0,     L2 msmx,10.68,
102.0,   5/4/2024, 22:15:28.066500,   5/4/2024, 22:15:27.893267,      Primary,2.0,0.0,100.0,3060.0,7390.0,0.09,104.73,8.0,6.4,17.6,3.0,1000000.0,     L2 msmx,11.41,
149.0,   5/4/2024, 22:18:32.786000,   5/4/2024, 22:18:32.572018,      Primary,2.0,0.0,100.0,2920.0,7750.0,-0.35,17.45,8.0,4.5,6.2,1.7,1000000.0,     L2 msmx,7.63,
158.0,   5/4/2024, 22:18:53.231250,   5/4/2024, 22:18:53.043034,      Primary,2.0,0.0,-790.0,2370.0,7070.0,-0.2,84.25,8.0,9.8,22.2,2.3,1000000.0,     L2 msmx,11.21,
206.0,   5/4/2024, 22:20:59.532500,   5/4/2024, 22:20:59.395298,      Primary,2.0,0.0,-980.0,2340.0,7170.0,0.93,187.75,8.0,21.2,35.6,5.0,1000000.0,     L2 msmx,22.69,
211.0,   5/4/2024, 22:21:24.090250,   5/4/2024, 22:21:24.349600,      Primary,2.0,0.0,-1010.0,2370.0,7000.0,0.2,187.75,8.0,5.2,7.1,2.3,1000000.0,     L2 msmx,7.52,
239.0,   5/4/2024, 22:22:43.369000,   5/4/2024, 22:22:43.184547,      Primary,2.0,0.0,-1020.0,2430.0,7120.0,-0.3,40.42,8.0,4.3,9.5,1.7,1000000.0,     L2 msmx,7.76,
270.0,   5/4/2024, 22:23:59.493000,   5/4/2024, 22:23:59.301693,      Primary,2.0,0.0,-350.0,3060.0,7490.0,0.26,128.84,8.0,12.7,16.3,2.2,1000000.0,     L2 msmx,9.94,
283.0,   5/4/2024, 22:24:35.111500,   5/4/2024, 22:24:35.225380,      Primary,2.0,0.0,-170.0,3110.0,7450.0,-0.21,75.13,8.0,5.1,10.4,1.7,1000000.0,     L2 msmx,7.03,
320.0,   5/4/2024, 22:26:26.385250,   5/4/2024, 22:26:26.287642,      Primary,2.0,0.0,-960.0,2420.0,7160.0,-0.33,47.12,8.0,4.7,8.3,1.9,1000000.0,     L2 msmx,7.95,
368.0,   5/4/2024, 22:28:46.263500,   5/4/2024, 22:28:46.068718,      Primary,2.0,0.0,-1280.0,2450.0,7070.0,-0.27,118.16,8.0,4.5,10.5,2.0,1000000.0,     L2 msmx,7.95,
409.0,   5/4/2024, 22:30:22.286500,   5/4/2024, 22:30:22.075335,      Primary,2.0,0.0,190.0,2890.0,7800.0,-0.04,69.12,8.0,9.2,19.7,2.5,1000000.0,     L2 msmx,9.7,
428.0,   5/4/2024, 22:31:04.199750,   5/4/2024, 22:31:04.100037,      Primary,2.0,0.0,-260.0,3110.0,7330.0,-0.03,154.97,8.0,6.2,15.4,1.6,1000000.0,     L2 msmx,7.63,
454.0,   5/4/2024, 22:32:00.075250,   5/4/2024, 22:31:59.878292,      Primary,2.0,0.0,-1270.0,2370.0,7370.0,-0.08,144.7,8.0,6.8,13.7,3.2,1000000.0,     L2 msmx,9.05,
477.0,   5/4/2024, 22:33:03.025500,   5/4/2024, 22:33:02.841474,      Primary,2.0,0.0,-1030.0,2360.0,7240.0,0.33,187.75,8.0,13.5,30.5,3.4,1000000.0,     L2 msmx,15.52,
485.0,   5/4/2024, 22:33:22.563500,   5/4/2024, 22:33:22.389666,      Primary,2.0,0.0,-240.0,3070.0,7530.0,-0.18,99.36,8.0,11.8,16.0,1.6,1000000.0,     L2 msmx,7.47,
507.0,   5/4/2024, 22:34:33.592000,   5/4/2024, 22:34:33.408699,      Primary,2.0,0.0,-770.0,3120.0,7220.0,-0.36,50.46,8.0,4.9,12.0,1.6,1000000.0,     L2 msmx,8.13,
520.0,   5/4/2024, 22:35:13.379250,   5/4/2024, 22:35:13.195506,      Primary,2.0,0.0,-1070.0,2420.0,7180.0,-0.14,100.92,8.0,8.8,20.1,2.3,1000000.0,     L2 msmx,10.16,
535.0,   5/4/2024, 22:35:54.952000,   5/4/2024, 22:35:54.742001,      Primary,2.0,0.0,160.0,2910.0,7700.0,-0.37,33.79,8.0,4.1,6.9,1.9,1000000.0,     L2 msmx,7.9,
