Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
47,   6/4/2024, 06:37:10.001250,   6/4/2024, 06:37:09.894145,      Primary,2,0,0,2400,6700,0.2,149.79,9,4.5,12.6,2.5,1000000,     L2 msmx,12.41,
50,   6/4/2024, 06:37:18.169250,   6/4/2024, 06:37:17.974190,      Primary,2,0,-330,2280,7920,-0.33,26.89,9,6.5,14.3,2.6,1000000,     L2 msmx,9.06,
68,   6/4/2024, 06:38:03.667750,   6/4/2024, 06:38:03.524705,      Primary,2,0,-130,2400,6720,-0.16,58.85,9,3.9,9.1,1.9,1000000,     L2 msmx,12.3,
82,   6/4/2024, 06:38:28.749000,   6/4/2024, 06:38:28.597630,      Primary,2,0,-1290,2520,6920,0.0,187.75,9,5.5,9.7,1.9,1000000,     L2 msmx,9.03,
124,   6/4/2024, 06:39:55.084500,   6/4/2024, 06:39:54.913242,      Primary,2,0,-1780,2400,7330,0.49,187.75,9,17.2,36.5,3.4,1000000,     L2 msmx,12.13,
169,   6/4/2024, 06:41:28.147250,   6/4/2024, 06:41:28.374996,      Primary,2,0,-450,2330,8070,0.07,76.36,9,13.3,12.3,4.1,1000000,     L2 msmx,9.54,
173,   6/4/2024, 06:41:35.526000,   6/4/2024, 06:41:35.401447,      Primary,2,0,-920,2500,6450,0.32,187.75,9,12.0,26.7,3.2,1000000,     L2 msmx,8.48,
257,   6/4/2024, 06:44:29.308000,   6/4/2024, 06:44:29.533329,      Primary,2,0,-100,2330,6640,0.66,187.75,9,17.6,46.9,3.1,1000000,     L2 msmx,8.32,
309,   6/4/2024, 06:46:23.221500,   6/4/2024, 06:46:23.040129,      Primary,2,0,-1440,2200,7870,0.38,150.98,9,13.4,18.9,2.5,1000000,     L2 msmx,12.16,
319,   6/4/2024, 06:46:48.102750,   6/4/2024, 06:46:47.919537,      Primary,2,0,-1320,2430,8400,0.25,187.75,9,6.2,13.0,1.9,1000000,     L2 msmx,9.84,
321,   6/4/2024, 06:46:53.405750,   6/4/2024, 06:46:53.229839,      Primary,2,0,-100,2740,7690,0.38,187.75,9,22.1,34.5,3.5,1000000,     L2 msmx,14.36,
322,   6/4/2024, 06:46:57.195000,   6/4/2024, 06:46:57.046680,      Primary,2,0,30,2420,6820,-0.01,96.02,9,6.2,17.4,2.4,1000000,     L2 msmx,9.76,
328,   6/4/2024, 06:47:12.797250,   6/4/2024, 06:47:12.666752,      Primary,2,0,-1090,2470,6610,0.11,187.75,9,5.6,11.9,2.1,1000000,     L2 msmx,10.25,
335,   6/4/2024, 06:47:26.858000,   6/4/2024, 06:47:26.727430,      Primary,2,0,-1340,2440,7060,0.37,187.75,9,11.7,14.5,2.4,1000000,     L2 msmx,10.05,
352,   6/4/2024, 06:47:59.859500,   6/4/2024, 06:47:59.726807,      Primary,2,0,-1300,2470,7010,0.13,187.75,9,7.6,11.9,1.8,1000000,     L2 msmx,8.31,
413,   6/4/2024, 06:49:56.291250,   6/4/2024, 06:49:56.140244,      Primary,2,0,-1280,2520,6920,0.14,187.75,9,6.7,16.8,2.3,1000000,     L2 msmx,8.64,
431,   6/4/2024, 06:50:30.213000,   6/4/2024, 06:50:30.240866,      Primary,2,0,-1710,2290,7620,0.22,187.75,9,6.4,23.4,2.8,1000000,     L2 msmx,7.51,
462,   6/4/2024, 06:51:40.006250,   6/4/2024, 06:51:39.875748,      Primary,2,0,-1340,2400,6800,0.02,147.18,9,5.1,8.2,1.9,1000000,     L2 msmx,10.11,
465,   6/4/2024, 06:51:46.537500,   6/4/2024, 06:51:46.385853,      Primary,2,0,-1250,2520,6910,-0.05,187.75,9,5.1,8.1,1.8,1000000,     L2 msmx,9.25,
474,   6/4/2024, 06:52:02.944750,   6/4/2024, 06:52:02.803827,      Primary,2,0,-200,2400,6670,0.22,134.71,9,11.5,19.2,2.9,1000000,     L2 msmx,10.79,
489,   6/4/2024, 06:52:45.812750,   6/4/2024, 06:52:45.673317,      Primary,2,0,-1090,2410,6900,0.38,187.75,9,13.6,20.3,4.2,1000000,     L2 msmx,11.89,
505,   6/4/2024, 06:53:18.986000,   6/4/2024, 06:53:18.844488,      Primary,2,0,90,2420,6770,0.76,187.75,9,27.8,43.8,4.2,1000000,     L2 msmx,12.88,
509,   6/4/2024, 06:53:29.070000,   6/4/2024, 06:53:28.943775,      Primary,2,0,-820,2450,6590,1.01,187.75,9,26.4,54.6,4.3,1000000,     L2 msmx,19.8,
525,   6/4/2024, 06:54:06.525750,   6/4/2024, 06:54:06.340931,      Primary,2,0,-1730,2300,7630,0.08,63.14,9,7.3,15.6,2.4,1000000,     L2 msmx,8.48,
546,   6/4/2024, 06:54:55.011250,   6/4/2024, 06:54:54.758423,      Primary,2,0,-1710,2490,7060,0.11,187.75,9,5.6,15.8,2.2,1000000,     L2 msmx,17.89,
556,   6/4/2024, 06:55:18.070250,   6/4/2024, 06:55:17.926956,      Primary,2,0,-100,2380,6750,-0.1,63.02,9,6.7,16.7,2.2,1000000,     L2 msmx,9.08,
569,   6/4/2024, 06:55:48.682250,   6/4/2024, 06:55:48.508808,      Primary,2,0,-1470,2370,7420,0.11,133.52,9,9.6,16.6,3.1,1000000,     L2 msmx,9.58,
602,   6/4/2024, 06:58:06.499000,   6/4/2024, 06:58:06.330805,      Primary,2,0,-100,2380,6890,0.07,90.69,9,4.7,9.1,1.8,1000000,     L2 msmx,9.87,
646,   6/4/2024, 06:59:44.629000,   6/4/2024, 06:59:44.432751,      Primary,2,0,-1680,2330,7420,0.34,187.75,9,19.9,185.1,4.2,1000000,     L2 msmx,10.43,
712,   6/4/2024, 07:01:55.670500,   6/4/2024, 07:01:55.502914,      Primary,2,0,-40,2350,6790,0.3,156.35,9,13.9,26.9,3.0,1000000,     L2 msmx,9.98,
847,   6/4/2024, 07:06:24.671750,   6/4/2024, 07:06:24.541164,      Primary,2,0,-1870,2340,7410,0.09,169.05,9,5.5,8.1,2.4,1000000,     L2 msmx,9.49,
858,   6/4/2024, 07:06:46.197000,   6/4/2024, 07:06:46.007580,      Primary,2,0,-1600,2430,7160,-0.11,92.8,9,4.5,8.3,2.2,1000000,     L2 msmx,7.81,
885,   6/4/2024, 07:07:36.799500,   6/4/2024, 07:07:36.684875,      Primary,2,0,-80,2440,7170,-0.15,48.93,9,5.7,12.7,2.4,1000000,     L2 msmx,9.33,
891,   6/4/2024, 07:07:48.927750,   6/4/2024, 07:07:48.703300,      Primary,2,0,130,3030,8080,0.52,187.75,9,15.9,21.9,2.7,1000000,     L2 msmx,14.25,
897,   6/4/2024, 07:08:14.024000,   6/4/2024, 07:08:13.797413,      Primary,2,0,-410,2300,8070,0.18,66.99,9,16.6,18.8,3.9,1000000,     L2 msmx,13.14,
958,   6/4/2024, 07:10:19.619500,   6/4/2024, 07:10:19.537582,      Primary,2,0,-580,2480,6360,0.78,187.75,9,19.5,54.1,5.0,1000000,     L2 msmx,7.61,
959,   6/4/2024, 07:10:23.835250,   6/4/2024, 07:10:23.916384,      Primary,2,0,-1190,2430,6990,0.13,187.75,9,5.4,8.8,2.2,1000000,     L2 msmx,9.4,
