Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
1,   6/4/2024, 12:24:36.871250,   6/4/2024, 12:24:36.675743,      Primary,2,0,-1860,2270,7510,0.11,129.07,9,4.8,9.4,1.9,1000000,     L2 msmx,8.85
20,   6/4/2024, 12:25:11.383000,   6/4/2024, 12:25:11.400910,      Primary,2,0,-1150,2530,6390,0.22,187.75,9,5.6,12.4,2.7,1000000,     L2 msmx,8.44
35,   6/4/2024, 12:25:40.962250,   6/4/2024, 12:25:40.752468,      Primary,2,0,-1890,2250,7640,0.22,187.75,9,4.7,8,2.1,1000000,     L2 msmx,9.95
173,   6/4/2024, 12:29:57.878750,   6/4/2024, 12:29:57.792057,      Primary,2,0,-1870,2360,7250,0.55,187.75,9,14,33.5,3,1000000,     L2 msmx,7.03
349,   6/4/2024, 12:35:45.280000,   6/4/2024, 12:35:45.053993,      Primary,2,0,-1880,2270,7640,0.42,187.75,9,4.8,8.1,2.7,1000000,     L2 msmx,21.17
502,   6/4/2024, 12:40:44.146500,   6/4/2024, 12:40:43.967533,      Primary,2,0,-1600,2290,7600,0,187.75,9,9.3,44,2.6,1000000,     L2 msmx,7.41
565,   6/4/2024, 12:42:45.921250,   6/4/2024, 12:42:46.096672,      Primary,2,0,-1660,2180,7990,-0.3,31.86,9,4.4,7.8,1.8,1000000,     L2 msmx,6.73
574,   6/4/2024, 12:43:03.609000,   6/4/2024, 12:43:03.356010,      Primary,2,0,20,3150,8730,0.55,187.75,9,11.7,24.8,2.1,1000000,     L2 msmx,9.93
633,   6/4/2024, 12:44:56.683250,   6/4/2024, 12:44:56.787464,      Primary,2,0,-1770,2300,7820,0.18,141.22,9,16.5,17.9,2.7,1000000,     L2 msmx,6.67
652,   6/4/2024, 12:45:31.172750,   6/4/2024, 12:45:31.100037,      Primary,2,0,-2080,2260,7680,0.67,187.75,9,14.9,29.5,4.9,1000000,     L2 msmx,6.92
660,   6/4/2024, 12:45:53.815000,   6/4/2024, 12:45:53.723175,      Primary,2,0,-1850,2220,7850,-0.04,84.06,9,4.7,10.7,2.4,1000000,     L2 msmx,6.63
772,   6/4/2024, 12:49:46.346250,   6/4/2024, 12:49:46.202614,      Primary,2,0,-2050,2210,8010,-0.06,75.93,9,5.3,15.2,1.5,1000000,     L2 msmx,6.8
