Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
39,   6/4/2024, 18:02:11.686000,   6/4/2024, 18:02:11.529058,      Primary,2,0,-1400,2380,6700,-0.22,77.1,9,14.7,27.6,2.4,1000000,     L2 msmx,7.44
165,   6/4/2024, 18:06:22.178500,   6/4/2024, 18:06:21.997231,      Primary,2,0,-600,2070,8670,-0.28,24.69,9,7.7,13.3,1.8,1000000,     L2 msmx,7.21
183,   6/4/2024, 18:06:52.140500,   6/4/2024, 18:06:51.919411,      Primary,2,0,-2120,2250,7970,0.2,146.49,9,5.5,22.8,1.8,1000000,     L2 msmx,7.5
209,   6/4/2024, 18:07:52.557250,   6/4/2024, 18:07:52.361191,      Primary,2,0,-1900,2150,7920,0.05,147.78,9,5,10.2,2.1,1000000,     L2 msmx,8.31
237,   6/4/2024, 18:08:44.174500,   6/4/2024, 18:08:43.967552,      Primary,2,0,-1830,2280,7730,0.59,187.75,9,34,53.5,3.7,1000000,     L2 msmx,13.08
238,   6/4/2024, 18:08:45.670250,   6/4/2024, 18:08:45.358025,      Primary,2,0,-2210,2300,7730,0.1,149.33,9,4.3,5.9,2.4,1000000,     L2 msmx,27.35
319,   6/4/2024, 18:11:24.669750,   6/4/2024, 18:11:24.476389,      Primary,2,0,10,2340,7200,-0.22,42.74,9,15.8,27.9,2.4,1000000,     L2 msmx,9.61
352,   6/4/2024, 18:12:31.219750,   6/4/2024, 18:12:31.440397,      Primary,2,0,-2200,2270,7680,-0.22,49.32,9,4.3,6,1.8,1000000,     L2 msmx,6.79
353,   6/4/2024, 18:12:35.297000,   6/4/2024, 18:12:35.093761,      Primary,2,0,-2320,2290,7650,-0.01,89.15,9,7.7,17.8,2.1,1000000,     L2 msmx,7.57
398,   6/4/2024, 18:14:03.817500,   6/4/2024, 18:14:03.755956,      Primary,2,0,-1290,2530,6350,-0.01,187.75,9,17,40.1,1.6,1000000,     L2 msmx,6.63
407,   6/4/2024, 18:14:25.900250,   6/4/2024, 18:14:25.711151,      Primary,2,0,-2220,2380,7350,-0.03,77.21,9,12.1,34.5,1.9,1000000,     L2 msmx,6.98
449,   6/4/2024, 18:15:55.885750,   6/4/2024, 18:15:55.687202,      Primary,2,0,-1650,2270,7590,0.02,151.72,9,5.1,12.5,3.1,1000000,     L2 msmx,9.97
454,   6/4/2024, 18:16:08.294000,   6/4/2024, 18:16:08.079434,      Primary,2,0,-1970,2190,8030,0.32,181.61,9,11.1,27.3,3.3,1000000,     L2 msmx,9.58
511,   6/4/2024, 18:17:59.308750,   6/4/2024, 18:17:59.107159,      Primary,2,0,-1940,2300,7610,-0.02,94,9,8.4,15,1.6,1000000,     L2 msmx,7.22
514,   6/4/2024, 18:18:03.582000,   6/4/2024, 18:18:03.388462,      Primary,2,0,-2000,2090,8120,1.29,187.75,9,31.6,48.3,2,1000000,     L2 msmx,48.8
520,   6/4/2024, 18:18:16.847750,   6/4/2024, 18:18:16.501534,      Primary,2,0,-1800,2280,7640,-0.11,51.93,9,4.2,6.3,1.7,1000000,     L2 msmx,16.63
534,   6/4/2024, 18:18:45.028500,   6/4/2024, 18:18:45.091030,      Primary,2,0,-1800,2190,7880,-0.15,44.62,9,4.1,7.6,2.3,1000000,     L2 msmx,7.81
572,   6/4/2024, 18:19:49.920500,   6/4/2024, 18:19:49.975616,      Primary,2,0,-2150,2360,7080,0.04,153.41,9,13.1,20.6,2.2,1000000,     L2 msmx,6.72
