Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
104,   8/4/2024, 15:43:38.559000,   8/4/2024, 15:43:38.386372,      Primary,2,0,-460,2060,8110,0.58,509.92,Background,69.9,117.5,2.6,1000000,     L2 msmx,24.57
106,   8/4/2024, 15:44:02.746750,   8/4/2024, 15:44:02.560028,      Primary,2,0,-610,2010,8270,-0.13,22.9,Background,6.5,17.9,1.4,1000000,     L2 msmx,8.86
120,   8/4/2024, 15:46:05.881000,   8/4/2024, 15:46:05.699782,      Primary,2,0,-290,2170,8140,-0.01,89.33,Background,16.2,36.3,1.9,1000000,     L2 msmx,12.7
122,   8/4/2024, 15:46:22.258250,   8/4/2024, 15:46:22.086229,      Primary,2,0,-600,2060,8180,-0.26,20.13,Background,12.5,38,1.5,1000000,     L2 msmx,9
371,   8/4/2024, 16:20:33.263250,   8/4/2024, 16:20:33.086414,      Primary,2,0,-450,2150,8070,-0.03,28.56,Background,5,11.9,1.8,1000000,     L2 msmx,9.89
411,   8/4/2024, 16:27:34.053750,   8/4/2024, 16:27:33.891655,      Primary,2,0,-400,2170,8050,0.41,53.18,Background,32.3,77.9,2,1000000,     L2 msmx,11.94
511,   8/4/2024, 16:42:41.356250,   8/4/2024, 16:42:41.231838,      Primary,2,0,-2560,2300,7270,-0.38,15.7,Background,18.1,81.1,1.3,1000000,     L2 msmx,8.26
701,   8/4/2024, 17:11:53.104750,   8/4/2024, 17:11:52.970810,      Primary,2,0,-2660,2440,7100,-0.42,20.49,Background,208.9,101.5,1.3,1000000,     L2 msmx,8.26
728,   8/4/2024, 17:15:59.264250,   8/4/2024, 17:15:59.100182,      Primary,2,0,-240,2240,8050,-0.6,29.4,Background,15.2,50.1,1.8,1000000,     L2 msmx,9.08
742,   8/4/2024, 17:18:40.208250,   8/4/2024, 17:18:40.060158,      Primary,2,0,410,3110,7800,-0.27,72.81,Background,53.5,105,1.6,1000000,     L2 msmx,9.39
746,   8/4/2024, 17:19:01.749750,   8/4/2024, 17:19:01.626356,      Primary,2,0,-2730,2400,6990,0.01,76.58,Background,91.3,176.6,1.4,1000000,     L2 msmx,8.2
851,   8/4/2024, 17:34:38.595000,   8/4/2024, 17:34:38.429817,      Primary,2,0,-1000,2120,7990,-0.48,33.56,Background,11.9,38,1.6,1000000,     L2 msmx,8.7
870,   8/4/2024, 17:37:42.908250,   8/4/2024, 17:37:42.917709,      Primary,2,0,-630,2450,6350,-0.58,81.62,Background,4.2,10,1.5,1000000,     L2 msmx,8.27
883,   8/4/2024, 17:39:31.129000,   8/4/2024, 17:39:30.925999,      Primary,2,0,-540,2120,8210,-0.4,26.79,Background,17.5,41.2,1.6,1000000,     L2 msmx,8.77
1180,   8/4/2024, 18:20:58.857000,   8/4/2024, 18:20:58.702118,      Primary,2,0,-430,2210,8030,-0.56,49.74,Background,19,49.7,1.7,1000000,     L2 msmx,9.98
1644,   8/4/2024, 19:30:57.171750,   8/4/2024, 19:30:57.003540,      Primary,2,0,-150,2190,8100,-0.42,46.84,Background,38.3,108.3,1.8,1000000,     L2 msmx,9.96
2075,   8/4/2024, 20:37:24.414750,   8/4/2024, 20:37:24.222202,      Primary,2,0,-2070,2150,8550,-0.06,38.63,Background,34.5,75.7,1.2,1000000,     L2 msmx,8.5
2384,   8/4/2024, 21:28:23.568000,   8/4/2024, 21:28:23.395721,      Primary,2,0,-170,2040,8300,-0.59,21.88,Background,860.4,52.3,1.8,1000000,     L2 msmx,8.6
3726,   9/4/2024, 01:43:56.147500,   9/4/2024, 01:43:55.945259,      Primary,2,0,-2300,2230,8190,0.2,53.42,Background,66.5,141.1,1.3,1000000,     L2 msmx,8.66
4043,   9/4/2024, 02:50:55.739750,   9/4/2024, 02:50:55.854702,      Primary,2,0,-1690,2350,8090,-0.45,49.06,Background,5.6,11.6,1.6,1000000,     L2 msmx,13.42
4090,   9/4/2024, 03:00:09.382250,   9/4/2024, 03:00:09.191498,      Primary,2,0,-2310,2040,8340,-0.18,29.08,Background,15.7,35,1.2,1000000,     L2 msmx,21.17
4410,   9/4/2024, 04:05:53.209000,   9/4/2024, 04:05:53.049053,      Primary,2,0,-110,2050,8190,-0.04,69.77,Background,145.2,136.7,2.4,1000000,     L2 msmx,13.82
4468,   9/4/2024, 04:21:23.543500,   9/4/2024, 04:21:23.374084,      Primary,2,0,40,2110,8210,-0.28,70.56,Background,28.6,67.2,2,1000000,     L2 msmx,9.5
4663,   9/4/2024, 05:11:35.203000,   9/4/2024, 05:11:35.017349,      Primary,2,0,-1860,1960,8420,-0.43,23.4,Background,15.9,45.5,1.1,1000000,     L2 msmx,14.24
4736,   9/4/2024, 05:32:41.400250,   9/4/2024, 05:32:41.186836,      Primary,2,0,-1980,2470,8880,0.01,79.1,Background,114.6,148.7,1.5,1000000,     L2 msmx,9.06
5027,   9/4/2024, 06:40:01.343250,   9/4/2024, 06:40:01.175999,      Primary,2,0,-2600,2200,8200,0.1,53.19,Background,39.3,108.7,1.4,1000000,     L2 msmx,8.58
5129,   9/4/2024, 07:04:47.428750,   9/4/2024, 07:04:47.217209,      Primary,2,0,510,3130,9000,0.23,240.18,Background,53.6,146.7,1.6,1000000,     L2 msmx,8.56
5136,   9/4/2024, 07:05:31.938250,   9/4/2024, 07:05:31.749041,      Primary,2,0,-2710,2370,8230,0.1,73.85,Background,16.6,17.9,1.3,1000000,     L2 msmx,8.73
5451,   9/4/2024, 08:33:49.573250,   9/4/2024, 08:33:49.392937,      Primary,2,0,-1550,2470,8390,-0.04,101.7,Background,68.4,151.7,1.1,1000000,     L2 msmx,9.13
5561,   9/4/2024, 09:09:17.976500,   9/4/2024, 09:09:17.814936,      Primary,2,0,-2340,2300,7950,-0.2,34.68,Background,34.6,74.5,1.4,1000000,     L2 msmx,8.69
5772,   9/4/2024, 10:19:04.990750,   9/4/2024, 10:19:04.855422,      Primary,2,0,660,3000,8130,-0.28,71.04,Background,23.8,52.9,1.5,1000000,     L2 msmx,11.53
5802,   9/4/2024, 10:28:40.057250,   9/4/2024, 10:28:39.851974,      Primary,2,0,150,2820,9000,0.21,178.06,Background,43.4,115.3,1.7,1000000,     L2 msmx,10.34
6153,   9/4/2024, 12:40:54.597750,   9/4/2024, 12:40:54.426579,      Primary,2,0,710,3150,8600,-0.33,76.17,Background,20.3,50.3,1.2,1000000,     L2 msmx,8.45
6351,   9/4/2024, 14:10:31.508000,   9/4/2024, 14:10:31.343174,      Primary,2,0,-90,2080,8200,0.19,191.56,Background,31.2,75.5,2.3,1000000,     L2 msmx,15.7
6705,   9/4/2024, 17:19:38.502000,   9/4/2024, 17:19:38.317085,      Primary,2,0,920,3510,8380,-0.2,108.09,Background,27.5,75.9,1.3,1000000,     L2 msmx,8.68
6706,   9/4/2024, 17:21:27.974750,   9/4/2024, 17:21:27.789923,      Primary,2,0,920,3480,8350,-0.04,193.89,Background,40.7,59.4,1.4,1000000,     L2 msmx,8.85
6746,   9/4/2024, 17:36:31.050250,   9/4/2024, 17:36:30.857710,      Primary,2,0,-1050,2380,8830,-0.41,34,Background,18.2,48.7,1.2,1000000,     L2 msmx,8.41
7052,   9/4/2024, 21:24:13.817250,   9/4/2024, 21:24:13.631537,      Primary,2,0,-1370,2400,8630,0.21,77.55,Background,47.5,79.3,1.4,1000000,     L2 msmx,9.38
7184,   9/4/2024, 22:41:21.812750,   9/4/2024, 22:41:21.636059,      Primary,2,0,-2580,2190,8240,0.35,173.47,Background,45.8,194.7,1.3,1000000,     L2 msmx,8.53
7246,   9/4/2024, 23:35:11.396250,   9/4/2024, 23:35:11.216584,      Primary,2,0,-1420,2500,8450,0.08,83.21,Background,39.1,78.9,1.2,1000000,     L2 msmx,11.35
7295,  10/4/2024, 00:20:07.414250,  10/4/2024, 00:20:07.286502,      Primary,2,0,-1140,3170,7610,-0.02,46.1,Background,22.1,63.5,1.4,1000000,     L2 msmx,11.91
7382,  10/4/2024, 01:33:42.793250,  10/4/2024, 01:33:42.616447,      Primary,2,0,50,2110,8260,-0.24,44.74,Background,19.7,42.8,1.5,1000000,     L2 msmx,11.77
