Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise,Matched File
52,  15/4/2024, 14:56:38.836000,  15/4/2024, 14:56:38.695713,      Primary,2,0,-460,2760,7750,-0.48,75.17,3,14.3,38.5,1.9,1000000,     L2 msmx,14.47,16B_StrainRate_20240415T215628+0000_96548.h5
60,  15/4/2024, 14:59:35.129000,  15/4/2024, 14:59:34.975395,      Primary,2,0,-890,2680,7870,-0.57,37.39,3,9.3,36.6,1.3,1000000,     L2 msmx,14.5,16B_StrainRate_20240415T215928+0000_96563.h5
62,  15/4/2024, 14:59:54.726750,  15/4/2024, 14:59:54.584385,      Primary,2,0,-1000,2660,7700,-0.66,31.99,3,14.0,32.5,1.5,1000000,     L2 msmx,13.13,16B_StrainRate_20240415T215952+0000_96565.h5
63,  15/4/2024, 15:00:06.891500,  15/4/2024, 15:00:06.745620,      Primary,2,0,-920,2620,7740,-0.44,53.41,3,11.4,26.4,1.5,1000000,     L2 msmx,13.08,16B_StrainRate_20240415T220004+0000_96566.h5
67,  15/4/2024, 15:01:28.034750,  15/4/2024, 15:01:27.887835,      Primary,2,0,-600,2620,7850,-0.31,49.33,3,12.3,59.6,1.9,1000000,     L2 msmx,13.9,16B_StrainRate_20240415T220128+0000_96573.h5
71,  15/4/2024, 15:02:31.006500,  15/4/2024, 15:02:31.102093,      Primary,2,0,-940,2650,7720,-0.45,26.01,3,5.6,10.8,1.4,1000000,     L2 msmx,12.87,16B_StrainRate_20240415T220228+0000_96578.h5
83,  15/4/2024, 15:07:20.708000,  15/4/2024, 15:07:20.559937,      Primary,2,0,-490,2670,7800,-0.44,27.56,3,5.6,24.6,1.5,1000000,     L2 msmx,13.35,16B_StrainRate_20240415T220716+0000_96602.h5
84,  15/4/2024, 15:07:55.872750,  15/4/2024, 15:07:55.747456,      Primary,2,0,-830,2610,7540,0.19,197.65,3,98.9,155.9,2.2,1000000,     L2 msmx,17.02,16B_StrainRate_20240415T220752+0000_96605.h5
87,  15/4/2024, 15:08:24.259250,  15/4/2024, 15:08:24.123291,      Primary,2,0,-600,2660,7800,-0.31,41.57,3,5.6,19.3,1.7,1000000,     L2 msmx,14.99,16B_StrainRate_20240415T220816+0000_96607.h5
89,  15/4/2024, 15:09:17.851750,  15/4/2024, 15:09:17.711071,      Primary,2,0,-610,2630,7830,-0.33,28.19,3,9.6,49.2,1.6,1000000,     L2 msmx,13.64,16B_StrainRate_20240415T220916+0000_96612.h5
105,  15/4/2024, 15:14:17.330500,  15/4/2024, 15:14:17.181376,      Primary,2,0,-560,2730,7860,-0.63,13.59,3,6.1,22.3,1.2,1000000,     L2 msmx,12.83,16B_StrainRate_20240415T221416+0000_96637.h5
110,  15/4/2024, 15:15:29.388000,  15/4/2024, 15:15:29.240070,      Primary,2,0,-920,2660,7800,-0.31,22.09,3,9.8,44.5,1.5,1000000,     L2 msmx,12.69,16B_StrainRate_20240415T221528+0000_96643.h5
115,  15/4/2024, 15:17:39.401500,  15/4/2024, 15:17:39.257957,      Primary,2,0,-800,2590,7890,-0.34,60.44,3,14.2,82.9,1.5,1000000,     L2 msmx,13.36,16B_StrainRate_20240415T221728+0000_96653.h5
