COMPANY 		: Utah Forge
FIELD   		: Beaver (University of Utah)
SITE    		: Utah Forge
WELL   		: 16B(78)-32
WELLPATH		: 16B(78)-32
DESIGN			: 16B(78)-32 Final Surveys
MAP SYSTEM		: Universal Transverse Mercator (US Survey Feet)
GEODIC DATUM		: NAD83 Utah - HARN
MAP ZONE		: Zone 12N (114 W to 108 W)
CALCULATION METHOD	: Minimum Curvature
WELL EASTING 		: 1097907.09ft 
WELL NORTHING 		: 13987765.96ft 
VSECT DIREC 		: 106.85deg 
NORTH REF		: Grid
KB ELEV  		: 5447.65ft 
GL ELEV 		: 5415.65ft 
DATE			: 6/26/2023

SURVEY 

MD         INC       AZI       TVD        SSTVD        N/S       NORTHING       E/W        EASTING       VSEC        DLS            
(ft)      (deg)     (deg)      (ft)       (ft)         (ft)       (Ft)          (ft)        (Ft)         (ft)     (deg/100ft)  


0.00       0.00     0.00      0.00        -5447.65    0.00      13987765.96    0.00      1097907.09      0.00       0.00   
25.00      0.22     52.11     25.00       -5422.65    0.03      13987765.99    0.04      1097907.12      0.03       0.88   
50.00      0.45     52.11     50.00       -5397.65    0.12      13987766.08    0.15      1097907.24      0.11       0.92   
75.00      0.36     38.82     75.00       -5372.65    0.24      13987766.20    0.28      1097907.37      0.20       0.52   
100.00     0.14     58.33     100.00      -5347.65    0.32      13987766.28    0.36      1097907.44      0.25       0.93   
125.00     0.54     131.51    125.00      -5322.65    0.26      13987766.22    0.47      1097907.56      0.38       2.07   
150.00     0.64     102.12    150.00      -5297.65    0.15      13987766.11    0.69      1097907.78      0.62       1.26   
175.00     0.65     75.44     175.00      -5272.65    0.15      13987766.12    0.97      1097908.05      0.88       1.19   
200.00     0.44     58.93     199.99      -5247.66    0.24      13987766.20    1.19      1097908.27      1.07       1.04   
225.00     0.26     44.13     224.99      -5222.66    0.33      13987766.29    1.31      1097908.40      1.16       0.80   
250.00     0.19     119.27    249.99      -5197.66    0.35      13987766.31    1.38      1097908.47      1.22       1.12   
275.00     0.40     126.68    274.99      -5172.66    0.28      13987766.24    1.49      1097908.58      1.35       0.85   
300.00     0.55     112.24    299.99      -5147.66    0.18      13987766.14    1.67      1097908.76      1.55       0.76   
325.00     0.69     107.15    324.99      -5122.66    0.09      13987766.05    1.93      1097909.01      1.82       0.60   
350.00     0.84     80.36     349.99      -5097.66    0.08      13987766.04    2.25      1097909.34      2.13       1.53   
375.00     0.70     69.14     374.99      -5072.66    0.16      13987766.12    2.57      1097909.66      2.42       0.82   
400.00     0.52     73.07     399.99      -5047.66    0.25      13987766.21    2.83      1097909.91      2.63       0.74   
425.00     0.42     91.96     424.98      -5022.67    0.28      13987766.24    3.03      1097910.11      2.82       0.73   
450.00     0.42     109.31    449.98      -4997.67    0.25      13987766.21    3.20      1097910.29      3.00       0.51   
475.00     0.59     117.89    474.98      -4972.67    0.16      13987766.12    3.40      1097910.49      3.21       0.74   
500.00     0.88     107.57    499.98      -4947.67    0.04      13987766.00    3.70      1097910.79      3.53       1.27   
525.00     1.07     89.12     524.98      -4922.67    -0.02     13987765.94    4.12      1097911.20      3.95       1.46   
550.00     1.10     80.69     549.97      -4897.68    0.03      13987765.99    4.59      1097911.67      4.38       0.65   
575.00     0.92     68.20     574.97      -4872.68    0.14      13987766.10    5.01      1097912.10      4.76       1.13   
600.00     0.89     80.60     599.97      -4847.68    0.25      13987766.21    5.39      1097912.47      5.09       0.79   
625.00     0.88     85.61     624.96      -4822.69    0.29      13987766.25    5.77      1097912.86      5.44       0.31   
650.00     0.97     98.35     649.96      -4797.69    0.28      13987766.24    6.17      1097913.26      5.83       0.90   
675.00     1.48     95.91     674.95      -4772.70    0.21      13987766.17    6.70      1097913.79      6.35       2.05   
700.00     1.59     84.67     699.94      -4747.71    0.21      13987766.17    7.37      1097914.46      6.99       1.28   
725.00     1.44     79.09     724.94      -4722.71    0.30      13987766.26    8.02      1097915.11      7.59       0.84   
750.00     1.35     81.48     749.93      -4697.72    0.41      13987766.37    8.62      1097915.71      8.14       0.43   
775.00     1.37     85.13     774.92      -4672.73    0.47      13987766.44    9.21      1097916.30      8.68       0.36   
800.00     1.22     92.17     799.92      -4647.73    0.49      13987766.45    9.78      1097916.86      9.21       0.87   
825.00     1.37     97.63     824.91      -4622.74    0.44      13987766.40    10.34     1097917.42      9.77       0.78   
850.00     1.76     95.25     849.90      -4597.75    0.37      13987766.33    11.02     1097918.10      10.44      1.58   
875.00     1.78     87.92     874.89      -4572.76    0.34      13987766.31    11.79     1097918.87      11.18      0.91   
900.00     1.85     87.44     899.87      -4547.78    0.38      13987766.34    12.58     1097919.66      11.93      0.29   
