channel_GES,east,north,depth,latitude,longitude,elevation,utm_easting,utm_northing,utm_depth
63,42.9471,68.9101,5065.0805,38.50421308528828,-112.89624461504103,106.18836359999978,334654.2767183597,4263464.696804739,-106.18836359999978
64,42.9993,68.7976,5075.1315,38.50421277938611,-112.896244424564,103.12481879999973,334654.2926289189,4263464.662514739,-103.12481879999973
65,43.0516,68.685,5085.1825,38.50421247321506,-112.8962442337304,100.06127399999991,334654.3085699592,4263464.6281942595,-100.06127399999991
66,43.1187,68.5809,5095.2335,38.5042121912173,-112.89624399180093,96.99772919999964,334654.3290220387,4263464.596464579,-96.99772919999964
67,43.1991,68.4844,5105.2845,38.50421193083711,-112.89624370395146,93.93418439999982,334654.3535279591,4263464.567051379,-93.93418439999982
68,43.281,68.3871,5115.3354,38.504211668345484,-112.8962434108037,90.87067007999985,334654.37849107943,4263464.537394338,-90.87067007999985
69,43.3976,68.2705,5125.3823,38.50421135483148,-112.89624299503184,87.80837495999981,334654.41403075884,4263464.501854658,-87.80837495999981
70,43.5142,68.1539,5135.4293,38.504211041317504,-112.89624257925996,84.74604935999992,334654.4495704397,4263464.466314981,-84.74604935999992
71,43.6708,68.0151,5145.4785,38.50421066911942,-112.89624202213808,81.68305319999968,334654.49730211956,4263464.424008739,-81.68305319999968
72,43.8598,67.8583,5155.5295,38.50421024933783,-112.89624135052142,78.61950839999986,334654.5549093189,4263464.3762161005,-78.61950839999986
73,44.0509,67.6999,5165.5803,38.50420982528242,-112.89624067145259,75.55602455999997,334654.6131565991,4263464.327935779,-75.55602455999997
74,44.272,67.519,5175.6272,38.50420934115347,-112.89623988594998,72.49372943999992,334654.6805478792,4263464.272797459,-72.49372943999992
75,44.4931,67.3381,5185.6742,38.504208857024494,-112.89623910044739,69.4314038399998,334654.74793915905,4263464.217659138,-69.4314038399998
76,44.7096,67.1502,5195.7212,38.504208353417496,-112.8962383305121,66.36907823999991,334654.81392835896,4263464.160387218,-66.36907823999991
77,44.9227,66.9572,5205.7682,38.50420783561662,-112.89623757208842,63.306752639999786,334654.878881239,4263464.101560818,-63.306752639999786
78,45.1365,66.7591,5215.8148,38.50420730385388,-112.89623681085183,60.24454895999975,334654.9440474792,4263464.041179939,-60.24454895999975
79,45.3576,66.5098,5225.8577,38.50420663194039,-112.89623602042354,57.18347303999985,334655.0114387596,4263463.965193298,-57.18347303999985
80,45.5787,66.2606,5235.9007,38.50420596030145,-112.89623523000247,54.122366639999655,334655.07883003925,4263463.889237139,-54.122366639999655
81,45.7974,65.9797,5245.9461,38.504205201497896,-112.89623444568365,51.060528719999866,334655.1454897996,4263463.803618819,-51.060528719999866
82,46.0145,65.6782,5255.9931,38.50420438604883,-112.89623366547143,47.99820311999997,334655.2116618796,4263463.7117216205,-47.99820311999997
83,46.2241,65.3795,5266.0396,38.50420357786243,-112.89623291166423,44.93602991999978,334655.27554795914,4263463.6206778595,-44.93602991999978
84,46.3769,65.1021,5276.0825,38.5042028249386,-112.89623235783776,41.87495399999966,334655.32212139823,4263463.536126341,-41.87495399999966
85,46.5297,64.8247,5286.1255,38.504202072014735,-112.8962318040113,38.81384759999969,334655.36869483953,4263463.451574818,-38.81384759999969
86,46.6268,64.5675,5296.1735,38.504201371395794,-112.89623144624318,35.75121719999993,334655.39829091955,4263463.373180259,-35.75121719999993
87,46.6911,64.3223,5306.2245,38.50420070186542,-112.89623120393529,32.687672399999656,334655.4178895588,4263463.298443299,-32.687672399999656
88,46.7434,64.0844,5316.2749,38.5042000516973,-112.89623100407847,29.62431047999962,334655.43383059977,4263463.225931378,-29.62431047999962
