Measured depth,Incl,Azimuth,Course length,TVD,Vertica sectionl,NS,EW,Total displ,At Azim,DLS
0,0,0,0,0,0,0,0,0,0,0
80,0.34,324.91,80,80,-0.18,0.19,-0.14,0.24,324.91,0.42
175,0.33,322.79,95,175,-0.61,0.64,-0.46,0.79,324.18,0.02
267,0.47,312.36,92,267,-1.16,1.11,-0.9,1.43,320.82,0.17
359,0.36,310.55,92,358.99,-1.75,1.55,-1.4,2.09,317.88,0.12
453,0.03,309.87,94,452.99,-2.04,1.76,-1.64,2.41,316.91,0.35
548,0.56,157.85,95,547.99,-1.79,1.34,-1.49,2.01,312.07,0.62
643,0.59,172.48,95,642.99,-1.32,0.43,-1.25,1.32,288.94,0.16
739,0.51,198.76,96,738.98,-1.16,-0.47,-1.32,1.4,250.6,0.27
833,0.84,191.72,94,832.98,-1.14,-1.54,-1.6,2.22,226.11,0.36
928,1.24,186.85,95,927.96,-0.96,-3.24,-1.86,3.74,209.88,0.43
1022,1.62,188.31,94,1021.93,-0.66,-5.56,-2.17,5.97,201.35,0.41
1117,1.93,182.52,95,1116.88,-0.16,-8.49,-2.44,8.83,196.03,0.38
1211,2.07,175.74,94,1210.83,0.74,-11.76,-2.38,12,191.45,0.29
1306,1.68,171.17,95,1305.78,1.87,-14.85,-2.04,14.99,187.82,0.44
1402,1.19,173.45,96,1401.75,2.81,-17.23,-1.71,17.32,185.67,0.51
1497,0.7,142.32,95,1496.73,3.63,-18.67,-1.24,18.71,183.81,0.73
1592,0.72,125.01,95,1591.73,4.65,-19.47,-0.4,19.48,181.18,0.23
1687,0.82,118.93,95,1686.72,5.87,-20.15,0.68,20.16,178.06,0.14
1783,0.87,95.89,96,1782.71,7.26,-20.55,2.01,20.65,174.42,0.36
1878,1,65.55,95,1877.7,8.61,-20.28,3.48,20.58,170.26,0.53
1974,1.14,14.63,96,1973.68,9.25,-19.01,4.49,19.53,166.73,0.97
2069,1.16,321.31,95,2068.66,8.47,-17.35,4.12,17.83,166.63,1.09
2164,1.04,278.62,95,2163.65,6.84,-16.47,2.67,16.68,170.79,0.85
2258,0.87,236.76,94,2257.64,5.52,-16.73,1.23,16.78,175.8,0.75
2352,0.71,163.66,94,2351.63,5.35,-17.68,0.8,17.7,177.42,1.01
2446,0.74,107.66,94,2445.62,6.25,-18.42,1.54,18.49,175.23,0.72
2540,0.76,48.82,94,2539.62,7.21,-18.2,2.59,18.38,171.91,0.78
2634,1.13,359.64,94,2633.6,7.31,-16.86,3.05,17.13,169.75,0.91
2729,1.21,312.16,95,2728.59,6.17,-15.25,2.3,15.42,171.42,0.99
2823,1.01,262.95,94,2822.57,4.52,-14.69,0.74,14.7,177.11,1
2918,0.63,188.09,95,2917.56,3.8,-15.31,-0.16,15.31,180.61,1.1
3013,1.04,123.23,95,3012.56,4.69,-16.3,0.49,16.3,178.29,1.01
3107,1.38,79.63,94,3106.54,6.52,-16.56,2.31,16.72,172.05,1.01
3201,1.54,28.28,94,3200.51,7.83,-15.24,4.02,15.76,165.21,1.35
3295,1.3,349.04,94,3294.48,7.66,-13.08,4.42,13.81,161.33,1.04
3390,0.99,291.49,95,3389.47,6.37,-11.72,3.45,12.22,163.6,1.2
3484,0.81,250.73,94,3483.46,5.01,-11.65,2.07,11.83,169.93,0.69
3578,0.48,184.81,94,3577.45,4.53,-12.26,1.41,12.34,173.45,0.8
3673,0.75,95.07,95,3672.45,5.22,-12.71,1.99,12.87,171.08,0.94
3766,1.46,59.45,93,3765.43,6.65,-12.16,3.62,12.69,163.42,1.03
3862,1.71,33.75,96,3861.39,7.96,-10.35,5.47,11.71,152.14,0.78
3956,1.66,3.11,94,3955.36,8.13,-7.82,6.32,10.06,141.05,0.95
4051,1.35,327.79,95,4050.32,7.03,-5.5,5.8,8,133.48,1.01
4146,1.12,281.82,95,4145.3,5.28,-4.36,4.3,6.12,135.46,1.04
4241,0.84,230.53,95,4240.29,3.95,-4.62,2.85,5.43,148.32,0.93
4335,1.07,183.14,94,4334.28,3.73,-5.93,2.27,6.35,159.06,0.85
4430,1.11,116.98,95,4429.27,4.81,-7.23,3.04,7.85,157.2,1.25
4524,1.45,32.77,94,4523.25,6.06,-6.65,4.5,8.03,145.93,1.85
4618,1.64,341.93,94,4617.22,5.69,-4.37,4.72,6.43,132.77,1.42
4713,1.45,284.79,95,4712.19,3.75,-2.77,3.14,4.19,131.43,1.57
4807,1.13,233.6,94,4806.17,1.98,-3.02,1.24,3.26,157.61,1.22
4902,1.21,185.35,95,4901.15,1.56,-4.57,0.4,4.59,175.06,1.01
4997,1.6,134.6,95,4996.13,2.89,-6.5,1.25,6.62,169.15,1.32
5007,1.57,131.93,10,5006.12,3.13,-6.69,1.45,6.85,167.79,0.8
5017,1.54,129.15,10,5016.12,3.37,-6.87,1.65,7.06,166.46,0.81
5027,1.51,126.28,10,5026.12,3.62,-7.03,1.86,7.27,165.15,0.82
5037,1.49,123.33,10,5036.11,3.87,-7.18,2.08,7.47,163.85,0.8
5047,1.48,120.3,10,5046.11,4.11,-7.32,2.3,7.67,162.55,0.79
5057,1.46,117.22,10,5056.11,4.36,-7.44,2.52,7.86,161.26,0.81
5067,1.46,114.09,10,5066.1,4.61,-7.55,2.75,8.04,159.96,0.8
5077,1.45,110.94,10,5076.1,4.87,-7.65,2.99,8.21,158.66,0.81
5087,1.46,107.78,10,5086.1,5.12,-7.73,3.23,8.38,157.34,0.81
5097,1.46,104.64,10,5096.09,5.37,-7.8,3.47,8.54,156.01,0.8
5107,1.47,101.54,10,5106.09,5.63,-7.86,3.72,8.7,154.67,0.8
5117,1.49,98.48,10,5116.09,5.89,-7.9,3.98,8.85,153.3,0.82
5127,1.5,95.49,10,5126.08,6.14,-7.94,4.23,8.99,151.92,0.79
5137,1.53,92.58,10,5136.08,6.4,-7.95,4.5,9.14,150.52,0.83
5147,1.55,89.76,10,5146.08,6.66,-7.96,4.77,9.28,149.09,0.78
5157,1.58,87.04,10,5156.07,6.93,-7.95,5.04,9.41,147.64,0.8
5167,1.58,85.49,10,5166.07,7.19,-7.93,5.31,9.55,146.19,0.43
5177,1.56,84.02,10,5176.06,7.44,-7.91,5.59,9.68,144.76,0.45
5187,1.55,82.52,10,5186.06,7.7,-7.88,5.86,9.82,143.37,0.42
5197,1.54,81.01,10,5196.06,7.94,-7.84,6.12,9.95,142,0.42
5207,1.53,79.47,10,5206.05,8.19,-7.79,6.39,10.08,140.66,0.42
5217,1.52,77.91,10,5216.05,8.43,-7.74,6.65,10.2,139.34,0.43
5227,1.51,76.33,10,5226.05,8.66,-7.68,6.91,10.33,138.05,0.43
5237,1.51,74.74,10,5236.04,8.89,-7.62,7.16,10.45,136.77,0.42
5247,1.5,73.14,10,5246.04,9.11,-7.54,7.41,10.58,135.5,0.43
5257,1.5,71.38,10,5256.04,9.33,-7.46,7.66,10.7,134.25,0.46
5267,1.49,68.16,10,5266.03,9.55,-7.37,7.91,10.81,133,0.85
5277,1.48,64.92,10,5276.03,9.75,-7.27,8.15,10.92,131.75,0.85
5287,1.48,61.67,10,5286.03,9.94,-7.15,8.38,11.02,130.51,0.84
5297,1.49,58.44,10,5296.02,10.13,-7.03,8.6,11.11,129.25,0.84
5307,1.5,55.24,10,5306.02,10.3,-6.88,8.82,11.19,127.97,0.84
5317,1.52,52.1,10,5316.02,10.46,-6.73,9.03,11.26,126.68,0.85
5327,1.54,49.03,10,5326.01,10.62,-6.56,9.24,11.33,125.37,0.84
