MD,INC,AZI,TVD,SSTVD,N/S,NORTHING,E/W,EASTING,VSEC,DLS
0,0,0,0,5447.65,0,13987765.96,0,1097907.09,0,0
25,0.22,52.11,25,5422.65,0.03,13987765.99,0.04,1097907.12,0.03,0.88
50,0.45,52.11,50,5397.65,0.12,13987766.08,0.15,1097907.24,0.11,0.92
75,0.36,38.82,75,5372.65,0.24,13987766.2,0.28,1097907.37,0.2,0.52
100,0.14,58.33,100,5347.65,0.32,13987766.28,0.36,1097907.44,0.25,0.93
125,0.54,131.51,125,5322.65,0.26,13987766.22,0.47,1097907.56,0.38,2.07
150,0.64,102.12,150,5297.65,0.15,13987766.11,0.69,1097907.78,0.62,1.26
175,0.65,75.44,175,5272.65,0.15,13987766.12,0.97,1097908.05,0.88,1.19
200,0.44,58.93,199.99,5247.66,0.24,13987766.2,1.19,1097908.27,1.07,1.04
225,0.26,44.13,224.99,5222.66,0.33,13987766.29,1.31,1097908.4,1.16,0.8
250,0.19,119.27,249.99,5197.66,0.35,13987766.31,1.38,1097908.47,1.22,1.12
275,0.4,126.68,274.99,5172.66,0.28,13987766.24,1.49,1097908.58,1.35,0.85
300,0.55,112.24,299.99,5147.66,0.18,13987766.14,1.67,1097908.76,1.55,0.76
325,0.69,107.15,324.99,5122.66,0.09,13987766.05,1.93,1097909.01,1.82,0.6
350,0.84,80.36,349.99,5097.66,0.08,13987766.04,2.25,1097909.34,2.13,1.53
375,0.7,69.14,374.99,5072.66,0.16,13987766.12,2.57,1097909.66,2.42,0.82
400,0.52,73.07,399.99,5047.66,0.25,13987766.21,2.83,1097909.91,2.63,0.74
425,0.42,91.96,424.98,5022.67,0.28,13987766.24,3.03,1097910.11,2.82,0.73
450,0.42,109.31,449.98,4997.67,0.25,13987766.21,3.2,1097910.29,3,0.51
475,0.59,117.89,474.98,4972.67,0.16,13987766.12,3.4,1097910.49,3.21,0.74
500,0.88,107.57,499.98,4947.67,0.04,13987766,3.7,1097910.79,3.53,1.27
525,1.07,89.12,524.98,4922.67,-0.02,13987765.94,4.12,1097911.2,3.95,1.46
550,1.1,80.69,549.97,4897.68,0.03,13987765.99,4.59,1097911.67,4.38,0.65
575,0.92,68.2,574.97,4872.68,0.14,13987766.1,5.01,1097912.1,4.76,1.13
600,0.89,80.6,599.97,4847.68,0.25,13987766.21,5.39,1097912.47,5.09,0.79
625,0.88,85.61,624.96,4822.69,0.29,13987766.25,5.77,1097912.86,5.44,0.31
650,0.97,98.35,649.96,4797.69,0.28,13987766.24,6.17,1097913.26,5.83,0.9
675,1.48,95.91,674.95,4772.7,0.21,13987766.17,6.7,1097913.79,6.35,2.05
700,1.59,84.67,699.94,4747.71,0.21,13987766.17,7.37,1097914.46,6.99,1.28
725,1.44,79.09,724.94,4722.71,0.3,13987766.26,8.02,1097915.11,7.59,0.84
750,1.35,81.48,749.93,4697.72,0.41,13987766.37,8.62,1097915.71,8.14,0.43
775,1.37,85.13,774.92,4672.73,0.47,13987766.44,9.21,1097916.3,8.68,0.36
800,1.22,92.17,799.92,4647.73,0.49,13987766.45,9.78,1097916.86,9.21,0.87
825,1.37,97.63,824.91,4622.74,0.44,13987766.4,10.34,1097917.42,9.77,0.78
850,1.76,95.25,849.9,4597.75,0.37,13987766.33,11.02,1097918.1,10.44,1.58
875,1.78,87.92,874.89,4572.76,0.34,13987766.31,11.79,1097918.87,11.18,0.91
900,1.85,87.44,899.87,4547.78,0.38,13987766.34,12.58,1097919.66,11.93,0.29
925,1.76,80.97,924.86,4522.79,0.45,13987766.42,13.36,1097920.45,12.65,0.89
950,1.69,83.12,949.85,4497.8,0.56,13987766.52,14.11,1097921.19,13.34,0.38
975,1.64,83.53,974.84,4472.81,0.64,13987766.6,14.83,1097921.91,14,0.21
1000,1.68,86.08,999.83,4447.82,0.71,13987766.67,15.55,1097922.63,14.67,0.34
1025,1.67,88.73,1024.82,4422.83,0.74,13987766.7,16.28,1097923.36,15.36,0.31
1050,1.85,93.72,1049.81,4397.84,0.72,13987766.69,17.04,1097924.13,16.1,0.94
1075,2.24,91.88,1074.79,4372.86,0.68,13987766.64,17.94,1097925.02,16.97,1.58
1100,2.03,83.69,1099.77,4347.88,0.71,13987766.68,18.86,1097925.95,17.85,1.48
1125,1.79,83.37,1124.76,4322.89,0.81,13987766.77,19.69,1097926.78,18.61,0.96
1150,1.83,92.6,1149.75,4297.9,0.83,13987766.8,20.48,1097927.56,19.36,1.18
1175,2.07,95.76,1174.73,4272.92,0.77,13987766.73,21.33,1097928.41,20.19,1.05
1200,1.83,93.18,1199.72,4247.93,0.7,13987766.67,22.17,1097929.26,21.02,1.02
1225,1.22,85.74,1224.71,4222.94,0.7,13987766.66,22.84,1097929.92,21.65,2.56
1250,0.57,87.6,1249.71,4197.94,0.73,13987766.69,23.23,1097930.31,22.02,2.6
1275,0.39,95.12,1274.71,4172.94,0.72,13987766.69,23.44,1097930.52,22.22,0.76
1300,0.23,87.94,1299.71,4147.94,0.72,13987766.68,23.57,1097930.66,22.35,0.66
1325,0.14,152.75,1324.71,4122.94,0.69,13987766.65,23.64,1097930.72,22.42,0.85
1350,0.33,127.31,1349.71,4097.94,0.62,13987766.58,23.71,1097930.79,22.51,0.85
1375,0.46,106.77,1374.7,4072.95,0.55,13987766.51,23.86,1097930.95,22.68,0.76
1400,0.62,73.81,1399.7,4047.95,0.56,13987766.52,24.09,1097931.17,22.89,1.37
1425,0.52,59.26,1424.7,4022.95,0.65,13987766.62,24.31,1097931.4,23.08,0.7
1450,0.37,34.29,1449.7,3997.95,0.78,13987766.74,24.46,1097931.54,23.18,0.97
1475,0.15,331.37,1474.7,3972.95,0.87,13987766.84,24.49,1097931.57,23.18,1.32
1500,0.5,112.05,1499.7,3947.95,0.86,13987766.82,24.57,1097931.66,23.27,2.49
