Lon,Lat,Depth
-112.89638967,38.5040214696,1650.0249
-112.896390172,38.5040219833,1625.6409
-112.896391323,38.5040232006,1596.6849
-112.896392894,38.504024466,1568.6433
-112.896394673,38.5040256457,1540.604748
-112.896395526,38.5040262087,1511.953548
-112.896394972,38.5040250641,1482.997548
-112.896394068,38.5040225794,1454.041548
-112.896394248,38.5040201046,1424.783796
-112.896395149,38.5040171512,1396.132596
-112.896395935,38.5040124693,1367.182692
-112.896396851,38.5040060824,1338.540636
-112.896397583,38.5039980232,1309.599876
-112.896397138,38.5039890492,1280.963916
-112.896395727,38.5039805852,1252.023156
-112.896394403,38.5039740698,1222.7715
-112.896392657,38.503970143,1193.821596
-112.896389665,38.5039679943,1164.865596
-112.896385843,38.5039661885,1135.912644
-112.896381167,38.5039651656,1106.654892
-112.896376051,38.5039659901,1077.70194
-112.896372614,38.5039695339,1048.447236
-112.896374026,38.5039740703,1019.497332
-112.896379155,38.5039764042,990.54438
-112.896384167,38.5039756089,961.896228
-112.896385601,38.5039729764,933.248076
-112.896382963,38.5039709867,904.599924
-112.89637931,38.5039716501,875.948724
-112.896377799,38.503975355,847.30362
-112.896380536,38.5039797326,818.350668
-112.896386026,38.5039811817,789.705564
-112.896389126,38.5039794287,760.752612
-112.896386784,38.5039767475,731.796612
-112.896380406,38.5039761367,703.151508
-112.896374527,38.5039798574,674.509452
-112.896373285,38.5039858101,645.867396
-112.896376772,38.5039894889,616.914444
-112.896381599,38.503989603,588.266292
-112.89638386,38.5039878909,559.61814
-112.896381802,38.5039866883,530.66214
-112.896376146,38.5039882906,502.321836
-112.896369813,38.5039933644,473.073228
-112.896367026,38.5040003583,444.431172
-112.89636901,38.5040066982,415.487364
-112.896374332,38.5040097431,386.53746
-112.89637938,38.5040089472,357.584508
-112.896381312,38.5040053179,328.936356
-112.896378528,38.5040017925,299.983404
-112.896373469,38.5040034674,271.3383
-112.896372864,38.5040097394,242.696244
-112.8963785,38.5040140426,213.749388
-112.89638512,38.5040132487,185.104284
-112.896387943,38.5040089458,156.15438
-112.896384834,38.5040036953,127.204476
-112.896384122,38.504003185,124.159524
-112.89638341,38.5040027022,121.111524
-112.896382665,38.5040022748,118.063524
-112.896381886,38.5040018754,115.018572
-112.896381107,38.5040015035,111.970572
-112.89638033,38.5040011865,108.922572
-112.896379518,38.5040008976,105.87762
-112.896378672,38.5040006366,102.82962
-112.896377828,38.5040004306,99.78162
-112.896376985,38.504000252,96.736668
-112.896376107,38.5040001014,93.688668
-112.896375195,38.5040000063,90.640668
-112.896374319,38.5039999106,87.595716
-112.896373375,38.5039998984,84.547716
-112.896372431,38.5039998863,81.499716
-112.896371488,38.503999929,78.454764
-112.896370547,38.5039999992,75.406764
-112.89636957,38.5040000699,72.361812
-112.896368629,38.5040001676,69.313812
-112.896367723,38.5040002921,66.265812
-112.896366783,38.5040004447,63.22086
-112.896365879,38.5040005966,60.17286
-112.896364975,38.5040007761,57.12486
-112.896364105,38.5040009549,54.079908
-112.896363238,38.5040011887,51.031908
-112.89636237,38.5040014225,47.983908
-112.896361503,38.5040016837,44.938956
-112.896360672,38.5040019719,41.890956
-112.896359877,38.5040023143,38.842956
-112.896359117,38.5040026562,35.798004
-112.896358359,38.5040030805,32.750004
-112.896357636,38.5040035042,29.702004
-112.896356915,38.5040039828,26.657052
-112.89635623,38.5040045157,23.609052
-112.89635558,38.5040050481,20.5641
-112.896354965,38.5040056073,17.5161
-112.896354386,38.504006166,14.4681
-112.896353876,38.5040067236,11.423148
-112.896353436,38.50400728,8.375148
-112.896353031,38.5040078359,5.327148
-112.896352696,38.5040083632,2.279148
-112.89635243,38.5040088893,-0.765804
-112.896352199,38.5040094149,-3.813804
-112.896352038,38.5040099394,-6.861804
-112.896351912,38.5040104633,-9.909804
-112.896351818,38.5040109042,-12.957804
-112.896351759,38.5040113172,-16.005804
-112.896351697,38.5040116203,-19.053804
-112.896351635,38.504011896,-22.098756
-112.89635157,38.5040120893,-25.146756
-112.896351539,38.5040122271,-28.194756
-112.89635154,38.504012282,-31.242756
-112.896351505,38.5040122826,-34.290756
-112.896351504,38.5040122277,-37.338756
-112.896351466,38.5040121184,-40.386756
-112.896351392,38.5040119823,-43.434756
-112.896351213,38.5040118204,-46.482756
-112.896350999,38.5040116316,-49.530756
-112.896350678,38.5040114171,-52.578756
-112.896350322,38.5040111482,-55.626756
-112.896349895,38.504010853,-58.674756
-112.896349397,38.5040105315,-61.722756
-112.896348829,38.5040101836,-64.770756
-112.89634819,38.5040098095,-67.815708
-112.89634748,38.504009409,-70.863708
-112.896346736,38.5040090365,-73.911708
-112.896345887,38.5040086383,-76.95666
-112.896345038,38.5040082675,-80.00466
-112.896344085,38.5040078984,-83.05266
-112.896343062,38.5040075305,-86.097612
-112.896342003,38.5040071357,-89.142564
-112.896340875,38.5040067694,-92.190564
-112.896339712,38.5040064037,-95.235516
-112.896338514,38.5040060386,-98.283516
-112.896337351,38.5040056729,-101.328468
-112.896336223,38.5040053067,-104.37342
-112.896335129,38.5040049399,-107.42142
-112.896334036,38.5040045456,-110.466372
-112.896332977,38.5040041782,-113.514372
-112.896331918,38.5040037834,-116.559324
-112.89633093,38.5040034149,-119.604276
-112.896329941,38.5040030189,-122.652276
-112.896328917,38.5040026235,-125.697228
-112.896327859,38.5040022562,-128.745228
-112.896326697,38.5040019179,-131.79018
-112.896325429,38.5040015814,-134.83818
-112.896324058,38.504001274,-137.883132
-112.896322582,38.5040009684,-140.928084
-112.896321037,38.5040006913,-143.973036
-112.896319388,38.5040004433,-147.017988
-112.896317669,38.5040001965,-150.059892
